SITE: https://sportsbet.io | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(19) | SCRIPTS: 74 same-origin, 19 cross-origin
SITE: https://imax.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(6),SensitiveForms | SCRIPTS: 24 same-origin, 6 cross-origin
SITE: https://doge.gov | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(1) | SCRIPTS: 5 same-origin, 1 cross-origin
SITE: https://icevirtuallibrary.com | RISK LEVEL: LOW | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 1 same-origin, 4 cross-origin
SITE: https://www.acpjournals.org | RISK LEVEL: HIGH | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(25),SensitiveForms | SCRIPTS: 6 same-origin, 25 cross-origin
SITE: https://www.archiproducts.com | RISK LEVEL: LOW | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(11) | SCRIPTS: 18 same-origin, 11 cross-origin
SITE: https://cdn.ebgaffiliates.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: none | SCRIPTS: 0 same-origin, 0 cross-origin
SITE: https://secureorder.merraci.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(2) | SCRIPTS: 49 same-origin, 2 cross-origin
SITE: https://voordeelshop.ah.nl | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(6) | SCRIPTS: 1 same-origin, 6 cross-origin
SITE: https://yourstudio.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(5) | SCRIPTS: 10 same-origin, 5 cross-origin
SITE: https://cadence.com | RISK LEVEL: LOW | PROTECTIONS: CSP | RISKS: InlineJS,InlineCSS,XOrigin(9),JSONP | SCRIPTS: 0 same-origin, 9 cross-origin
SITE: https://www.regmovies.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 27 same-origin, 4 cross-origin
SITE: https://vinhomes.vn | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(9),SensitiveForms | SCRIPTS: 50 same-origin, 9 cross-origin
SITE: https://dmd.aspetjournals.org | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(7),SensitiveForms | SCRIPTS: 2 same-origin, 7 cross-origin
SITE: https://www.buydomains.com | RISK LEVEL: LOW | PROTECTIONS: CSP,Framework | RISKS: InlineJS,InlineCSS,Eval,XOrigin(6),PostMessage | SCRIPTS: 0 same-origin, 6 cross-origin
SITE: https://secure.jbs.elsevierhealth.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(10) | SCRIPTS: 1 same-origin, 10 cross-origin
SITE: https://www.kumon.com | RISK LEVEL: MEDIUM | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(20) | SCRIPTS: 5 same-origin, 20 cross-origin
SITE: https://content.raz-plus.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,Framework | RISKS: InlineJS,InlineCSS,XOrigin(45) | SCRIPTS: 1 same-origin, 45 cross-origin
SITE: https://home-journey.comparethemarket.com | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,Eval,XOrigin(9) | SCRIPTS: 7 same-origin, 9 cross-origin
SITE: https://artlist.io | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(3) | SCRIPTS: 106 same-origin, 3 cross-origin
SITE: https://www2.enrichyourfood.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(5) | SCRIPTS: 6 same-origin, 5 cross-origin
SITE: https://www.light.gg | RISK LEVEL: MEDIUM | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(20) | SCRIPTS: 5 same-origin, 20 cross-origin
SITE: https://www.jumia.ci | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4),SensitiveForms | SCRIPTS: 4 same-origin, 4 cross-origin
SITE: https://www.planetminecraft.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(11) | SCRIPTS: 1 same-origin, 11 cross-origin
SITE: https://qdl.qa | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(1) | SCRIPTS: 0 same-origin, 1 cross-origin
SITE: https://mrsbutterworths.com | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(2) | SCRIPTS: 1 same-origin, 2 cross-origin
SITE: https://reecenichols.com | RISK LEVEL: MEDIUM | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(22) | SCRIPTS: 12 same-origin, 22 cross-origin
SITE: https://boattrader.com | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(11) | SCRIPTS: 3 same-origin, 11 cross-origin
SITE: https://harnessapp.com | RISK LEVEL: LOW | PROTECTIONS: CSP | RISKS: InlineJS,InlineCSS,XOrigin(21) | SCRIPTS: 0 same-origin, 21 cross-origin
SITE: https://profileui.pmi.org | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(12) | SCRIPTS: 3 same-origin, 12 cross-origin
SITE: https://mytravel.state.gov | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(8) | SCRIPTS: 8 same-origin, 8 cross-origin
SITE: https://vendordirectory.shrm.org | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(5),SensitiveForms | SCRIPTS: 2 same-origin, 5 cross-origin
SITE: https://orellfuessli.ch | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(57),SensitiveForms | SCRIPTS: 29 same-origin, 57 cross-origin
SITE: https://images-us.bookshop.org | RISK LEVEL: MINIMAL | PROTECTIONS: none | RISKS: none | SCRIPTS: 0 same-origin, 0 cross-origin
